# timestamp cpu_util memory_usage disk_read disk_write network_in network_out exec_time threads page_faults cache_hit error_rate throughput p50 p95 p99
15.1325 10 100 0 0 0 0 1.87e-07 1 0 0 0 0 0 0 0
15.1426 10 100 0 0 0 0 1.87e-07 1 0 0 0 0 0 0 0
15.1528 10 100 0 0 0 0 1.87e-07 1 0 0 0 0 0 0 0
15.1629 10 100 0 0 0 0 1.87e-07 1 0 0 0 0 0 0 0
15.1737 10 100 0 0 0 0 1.87e-07 1 0 0 0 0 0 0 0
15.1862 10 100 0 0 0 0 1.87e-07 1 0 0 0 0 0 0 0
15.1962 10 100 0 0 0 0 1.87e-07 1 0 0 0 0 0 0 0
15.2063 10 100 0 0 0 0 1.87e-07 1 0 0 0 0 0 0 0
15.2164 10 100 0 0 0 0 1.87e-07 1 0 0 0 0 0 0 0
15.2265 10 100 0 0 0 0 1.87e-07 1 0 0 0 0 0 0 0
