# timestamp cpu_util memory_usage disk_read disk_write network_in network_out exec_time threads page_faults cache_hit error_rate throughput p50 p95 p99
11.2919 10 100 0 0 0 0 1.9e-07 1 0 0 0 0 0 0 0
11.3019 10 100 0 0 0 0 1.9e-07 1 0 0 0 0 0 0 0
11.312 10 100 0 0 0 0 1.9e-07 1 0 0 0 0 0 0 0
11.3221 10 100 0 0 0 0 1.9e-07 1 0 0 0 0 0 0 0
11.3342 10 100 0 0 0 0 1.9e-07 1 0 0 0 0 0 0 0
11.3443 10 100 0 0 0 0 1.9e-07 1 0 0 0 0 0 0 0
11.3543 10 100 0 0 0 0 1.9e-07 1 0 0 0 0 0 0 0
11.3645 10 100 0 0 0 0 1.9e-07 1 0 0 0 0 0 0 0
11.3746 10 100 0 0 0 0 1.9e-07 1 0 0 0 0 0 0 0
11.3847 10 100 0 0 0 0 1.9e-07 1 0 0 0 0 0 0 0
