# timestamp cpu_util memory_usage disk_read disk_write network_in network_out exec_time threads page_faults cache_hit error_rate throughput p50 p95 p99
6.37014 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
6.38022 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
6.39033 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
6.40045 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
6.41057 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
6.42067 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
6.43076 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
6.44085 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
6.45096 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
6.46111 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
