# timestamp cpu_util memory_usage disk_read disk_write network_in network_out exec_time threads page_faults cache_hit error_rate throughput p50 p95 p99
22.2793 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
22.2894 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
22.2995 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
22.3096 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
22.3197 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
22.3298 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
22.3399 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
22.35 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
22.3601 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
22.3702 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
