# timestamp cpu_util memory_usage disk_read disk_write network_in network_out exec_time threads page_faults cache_hit error_rate throughput p50 p95 p99
18.6047 10 100 0 0 0 0 1.97e-07 1 0 0 0 0 0 0 0
18.6148 10 100 0 0 0 0 1.97e-07 1 0 0 0 0 0 0 0
18.6249 10 100 0 0 0 0 1.97e-07 1 0 0 0 0 0 0 0
18.6349 10 100 0 0 0 0 1.97e-07 1 0 0 0 0 0 0 0
18.645 10 100 0 0 0 0 1.97e-07 1 0 0 0 0 0 0 0
18.6551 10 100 0 0 0 0 1.97e-07 1 0 0 0 0 0 0 0
18.6652 10 100 0 0 0 0 1.97e-07 1 0 0 0 0 0 0 0
18.6756 10 100 0 0 0 0 1.97e-07 1 0 0 0 0 0 0 0
18.6856 10 100 0 0 0 0 1.97e-07 1 0 0 0 0 0 0 0
18.6958 10 100 0 0 0 0 1.97e-07 1 0 0 0 0 0 0 0
