# timestamp cpu_time memory_usage execution_time
1769868384.734434 0.000090 5484 0.000134
1769868384.956469 0.000020 5484 0.000030
1769868385.056474 0.000018 5484 0.000028
1769868385.156461 0.000017 5484 0.000026
1769868385.256442 0.000015 5484 0.000024
