# timestamp cpu_util memory_usage disk_read disk_write network_in network_out exec_time threads page_faults cache_hit error_rate throughput p50 p95 p99
20.2258 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
20.2359 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
20.246 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
20.2562 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
20.2663 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
20.2764 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
20.2865 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
20.2965 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
20.3066 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
20.3168 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
