# timestamp cpu_util memory_usage disk_read disk_write network_in network_out exec_time threads page_faults cache_hit error_rate throughput p50 p95 p99
13.2134 10 100 0 0 0 0 1.64e-07 1 0 0 0 0 0 0 0
13.2235 10 100 0 0 0 0 1.64e-07 1 0 0 0 0 0 0 0
13.2336 10 100 0 0 0 0 1.64e-07 1 0 0 0 0 0 0 0
13.2437 10 100 0 0 0 0 1.64e-07 1 0 0 0 0 0 0 0
13.2538 10 100 0 0 0 0 1.64e-07 1 0 0 0 0 0 0 0
13.2639 10 100 0 0 0 0 1.64e-07 1 0 0 0 0 0 0 0
13.274 10 100 0 0 0 0 1.64e-07 1 0 0 0 0 0 0 0
13.2862 10 100 0 0 0 0 1.64e-07 1 0 0 0 0 0 0 0
13.2963 10 100 0 0 0 0 1.64e-07 1 0 0 0 0 0 0 0
13.3064 10 100 0 0 0 0 1.64e-07 1 0 0 0 0 0 0 0
