# timestamp cpu_util memory_usage disk_read disk_write network_in network_out exec_time threads page_faults cache_hit error_rate throughput p50 p95 p99
5.28552 10 100 0 0 0 0 1.32e-07 1 0 0 0 0 0 0 0
5.29561 10 100 0 0 0 0 1.32e-07 1 0 0 0 0 0 0 0
5.30571 10 100 0 0 0 0 1.32e-07 1 0 0 0 0 0 0 0
5.31585 10 100 0 0 0 0 1.32e-07 1 0 0 0 0 0 0 0
5.32595 10 100 0 0 0 0 1.32e-07 1 0 0 0 0 0 0 0
5.33607 10 100 0 0 0 0 1.32e-07 1 0 0 0 0 0 0 0
5.34621 10 100 0 0 0 0 1.32e-07 1 0 0 0 0 0 0 0
5.35818 10 100 0 0 0 0 1.32e-07 1 0 0 0 0 0 0 0
5.3683 10 100 0 0 0 0 1.32e-07 1 0 0 0 0 0 0 0
5.37842 10 100 0 0 0 0 1.32e-07 1 0 0 0 0 0 0 0
