# timestamp cpu_util memory_usage disk_read disk_write network_in network_out exec_time threads page_faults cache_hit error_rate throughput p50 p95 p99
14.2764 10 100 0 0 0 0 1.85e-07 1 0 0 0 0 0 0 0
14.2865 10 100 0 0 0 0 1.85e-07 1 0 0 0 0 0 0 0
14.2966 10 100 0 0 0 0 1.85e-07 1 0 0 0 0 0 0 0
14.3067 10 100 0 0 0 0 1.85e-07 1 0 0 0 0 0 0 0
14.3169 10 100 0 0 0 0 1.85e-07 1 0 0 0 0 0 0 0
14.3271 10 100 0 0 0 0 1.85e-07 1 0 0 0 0 0 0 0
14.3372 10 100 0 0 0 0 1.85e-07 1 0 0 0 0 0 0 0
14.35 10 100 0 0 0 0 1.85e-07 1 0 0 0 0 0 0 0
14.3601 10 100 0 0 0 0 1.85e-07 1 0 0 0 0 0 0 0
14.3723 10 100 0 0 0 0 1.85e-07 1 0 0 0 0 0 0 0
