# timestamp cpu_util memory_usage disk_read disk_write network_in network_out exec_time threads page_faults cache_hit error_rate throughput p50 p95 p99
20.3486 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
20.3587 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
20.3688 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
20.3789 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
20.389 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
20.3991 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
20.4092 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
20.4193 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
20.4294 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
20.4395 10 100 0 0 0 0 1.44e-07 1 0 0 0 0 0 0 0
