# timestamp cpu_util memory_usage disk_read disk_write network_in network_out exec_time threads page_faults cache_hit error_rate throughput p50 p95 p99
7.41927 10 100 0 0 0 0 3.85e-07 1 0 0 0 0 0 0 0
7.42942 10 100 0 0 0 0 3.85e-07 1 0 0 0 0 0 0 0
7.4395 10 100 0 0 0 0 3.85e-07 1 0 0 0 0 0 0 0
7.4496 10 100 0 0 0 0 3.85e-07 1 0 0 0 0 0 0 0
7.45969 10 100 0 0 0 0 3.85e-07 1 0 0 0 0 0 0 0
7.46979 10 100 0 0 0 0 3.85e-07 1 0 0 0 0 0 0 0
7.47987 10 100 0 0 0 0 3.85e-07 1 0 0 0 0 0 0 0
7.48995 10 100 0 0 0 0 3.85e-07 1 0 0 0 0 0 0 0
7.50004 10 100 0 0 0 0 3.85e-07 1 0 0 0 0 0 0 0
7.51014 10 100 0 0 0 0 3.85e-07 1 0 0 0 0 0 0 0
