# timestamp cpu_util memory_usage disk_read disk_write network_in network_out exec_time threads page_faults cache_hit error_rate throughput p50 p95 p99
10.3695 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
10.3796 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
10.3897 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
10.3998 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
10.4107 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
10.4208 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
10.4309 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
10.441 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
10.451 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
10.4611 10 100 0 0 0 0 1.58e-07 1 0 0 0 0 0 0 0
