# timestamp cpu_util memory_usage disk_read disk_write network_in network_out exec_time threads page_faults cache_hit error_rate throughput p50 p95 p99
12.3228 10 100 0 0 0 0 1.61e-07 1 0 0 0 0 0 0 0
12.3329 10 100 0 0 0 0 1.61e-07 1 0 0 0 0 0 0 0
12.343 10 100 0 0 0 0 1.61e-07 1 0 0 0 0 0 0 0
12.3531 10 100 0 0 0 0 1.61e-07 1 0 0 0 0 0 0 0
12.3632 10 100 0 0 0 0 1.61e-07 1 0 0 0 0 0 0 0
12.3733 10 100 0 0 0 0 1.61e-07 1 0 0 0 0 0 0 0
12.3839 10 100 0 0 0 0 1.61e-07 1 0 0 0 0 0 0 0
12.394 10 100 0 0 0 0 1.61e-07 1 0 0 0 0 0 0 0
12.4041 10 100 0 0 0 0 1.61e-07 1 0 0 0 0 0 0 0
12.4142 10 100 0 0 0 0 1.61e-07 1 0 0 0 0 0 0 0
