# timestamp cpu_util memory_usage disk_read disk_write network_in network_out exec_time threads page_faults cache_hit error_rate throughput p50 p95 p99
16.8796 10 100 0 0 0 0 1.37e-07 1 0 0 0 0 0 0 0
16.8897 10 100 0 0 0 0 1.37e-07 1 0 0 0 0 0 0 0
16.8999 10 100 0 0 0 0 1.37e-07 1 0 0 0 0 0 0 0
16.91 10 100 0 0 0 0 1.37e-07 1 0 0 0 0 0 0 0
16.9201 10 100 0 0 0 0 1.37e-07 1 0 0 0 0 0 0 0
16.9302 10 100 0 0 0 0 1.37e-07 1 0 0 0 0 0 0 0
16.9403 10 100 0 0 0 0 1.37e-07 1 0 0 0 0 0 0 0
16.9503 10 100 0 0 0 0 1.37e-07 1 0 0 0 0 0 0 0
16.9604 10 100 0 0 0 0 1.37e-07 1 0 0 0 0 0 0 0
16.9706 10 100 0 0 0 0 1.37e-07 1 0 0 0 0 0 0 0
