# timestamp cpu_util memory_usage disk_read disk_write network_in network_out exec_time threads page_faults cache_hit error_rate throughput p50 p95 p99
16.385 10 100 0 0 0 0 1.28e-07 1 0 0 0 0 0 0 0
16.395 10 100 0 0 0 0 1.28e-07 1 0 0 0 0 0 0 0
16.4051 10 100 0 0 0 0 1.28e-07 1 0 0 0 0 0 0 0
16.4152 10 100 0 0 0 0 1.28e-07 1 0 0 0 0 0 0 0
16.4253 10 100 0 0 0 0 1.28e-07 1 0 0 0 0 0 0 0
16.4354 10 100 0 0 0 0 1.28e-07 1 0 0 0 0 0 0 0
16.4456 10 100 0 0 0 0 1.28e-07 1 0 0 0 0 0 0 0
16.4557 10 100 0 0 0 0 1.28e-07 1 0 0 0 0 0 0 0
16.4658 10 100 0 0 0 0 1.28e-07 1 0 0 0 0 0 0 0
16.4758 10 100 0 0 0 0 1.28e-07 1 0 0 0 0 0 0 0
