# timestamp cpu_util memory_usage disk_read disk_write network_in network_out exec_time threads page_faults cache_hit error_rate throughput p50 p95 p99
8.41328 10 100 0 0 0 0 1.63e-07 1 0 0 0 0 0 0 0
8.42336 10 100 0 0 0 0 1.63e-07 1 0 0 0 0 0 0 0
8.43348 10 100 0 0 0 0 1.63e-07 1 0 0 0 0 0 0 0
8.44356 10 100 0 0 0 0 1.63e-07 1 0 0 0 0 0 0 0
8.45364 10 100 0 0 0 0 1.63e-07 1 0 0 0 0 0 0 0
8.46371 10 100 0 0 0 0 1.63e-07 1 0 0 0 0 0 0 0
8.47379 10 100 0 0 0 0 1.63e-07 1 0 0 0 0 0 0 0
8.48388 10 100 0 0 0 0 1.63e-07 1 0 0 0 0 0 0 0
8.49395 10 100 0 0 0 0 1.63e-07 1 0 0 0 0 0 0 0
8.50406 10 100 0 0 0 0 1.63e-07 1 0 0 0 0 0 0 0
