# time cpu_util memory_usage
8.41328 10 100
8.42336 10 100
8.43348 10 100
8.44356 10 100
8.45364 10 100
8.46371 10 100
8.47379 10 100
8.48388 10 100
8.49395 10 100
8.50406 10 100

