timestamp,cpu_utilization,memory_usage,disk_io_read,disk_io_write,network_in,network_out,execution_time,thread_count,page_faults,cache_hit_rate,error_rate,throughput,response_time_p50,response_time_p95,response_time_p99
10.3695,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
10.3796,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
10.3897,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
10.3998,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
10.4107,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
10.4208,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
10.4309,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
10.441,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
10.451,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
10.4611,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
