timestamp,cpu_utilization,memory_usage,disk_io_read,disk_io_write,network_in,network_out,execution_time,thread_count,page_faults,cache_hit_rate,error_rate,throughput,response_time_p50,response_time_p95,response_time_p99
11.2919,10,100,0,0,0,0,1.9e-07,1,0,0,0,0,0,0,0
11.3019,10,100,0,0,0,0,1.9e-07,1,0,0,0,0,0,0,0
11.312,10,100,0,0,0,0,1.9e-07,1,0,0,0,0,0,0,0
11.3221,10,100,0,0,0,0,1.9e-07,1,0,0,0,0,0,0,0
11.3342,10,100,0,0,0,0,1.9e-07,1,0,0,0,0,0,0,0
11.3443,10,100,0,0,0,0,1.9e-07,1,0,0,0,0,0,0,0
11.3543,10,100,0,0,0,0,1.9e-07,1,0,0,0,0,0,0,0
11.3645,10,100,0,0,0,0,1.9e-07,1,0,0,0,0,0,0,0
11.3746,10,100,0,0,0,0,1.9e-07,1,0,0,0,0,0,0,0
11.3847,10,100,0,0,0,0,1.9e-07,1,0,0,0,0,0,0,0
