timestamp,cpu_utilization,memory_usage,disk_io_read,disk_io_write,network_in,network_out,execution_time,thread_count,page_faults,cache_hit_rate,error_rate,throughput,response_time_p50,response_time_p95,response_time_p99
15.1325,10,100,0,0,0,0,1.87e-07,1,0,0,0,0,0,0,0
15.1426,10,100,0,0,0,0,1.87e-07,1,0,0,0,0,0,0,0
15.1528,10,100,0,0,0,0,1.87e-07,1,0,0,0,0,0,0,0
15.1629,10,100,0,0,0,0,1.87e-07,1,0,0,0,0,0,0,0
15.1737,10,100,0,0,0,0,1.87e-07,1,0,0,0,0,0,0,0
15.1862,10,100,0,0,0,0,1.87e-07,1,0,0,0,0,0,0,0
15.1962,10,100,0,0,0,0,1.87e-07,1,0,0,0,0,0,0,0
15.2063,10,100,0,0,0,0,1.87e-07,1,0,0,0,0,0,0,0
15.2164,10,100,0,0,0,0,1.87e-07,1,0,0,0,0,0,0,0
15.2265,10,100,0,0,0,0,1.87e-07,1,0,0,0,0,0,0,0
