timestamp,cpu_utilization,memory_usage,disk_io_read,disk_io_write,network_in,network_out,execution_time,thread_count,page_faults,cache_hit_rate,error_rate,throughput,response_time_p50,response_time_p95,response_time_p99
5.28552,10,100,0,0,0,0,1.32e-07,1,0,0,0,0,0,0,0
5.29561,10,100,0,0,0,0,1.32e-07,1,0,0,0,0,0,0,0
5.30571,10,100,0,0,0,0,1.32e-07,1,0,0,0,0,0,0,0
5.31585,10,100,0,0,0,0,1.32e-07,1,0,0,0,0,0,0,0
5.32595,10,100,0,0,0,0,1.32e-07,1,0,0,0,0,0,0,0
5.33607,10,100,0,0,0,0,1.32e-07,1,0,0,0,0,0,0,0
5.34621,10,100,0,0,0,0,1.32e-07,1,0,0,0,0,0,0,0
5.35818,10,100,0,0,0,0,1.32e-07,1,0,0,0,0,0,0,0
5.3683,10,100,0,0,0,0,1.32e-07,1,0,0,0,0,0,0,0
5.37842,10,100,0,0,0,0,1.32e-07,1,0,0,0,0,0,0,0
