timestamp,cpu_utilization,memory_usage,disk_io_read,disk_io_write,network_in,network_out,execution_time,thread_count,page_faults,cache_hit_rate,error_rate,throughput,response_time_p50,response_time_p95,response_time_p99
20.2258,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
20.2359,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
20.246,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
20.2562,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
20.2663,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
20.2764,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
20.2865,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
20.2965,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
20.3066,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
20.3168,10,100,0,0,0,0,1.58e-07,1,0,0,0,0,0,0,0
