timestamp,cpu_time,memory_usage,execution_time
1769881884.329776,0.000071,5636,0.000180
1769881884.520507,0.000165,5636,0.000398
1769881884.621029,0.000342,5636,0.000822
1769881884.721881,0.000676,5636,0.001625
1769881884.823231,0.001091,5636,0.002621
